Shape,Area (mm2),Depth (mm),Width (mm),Ix (mm4),Iy (mm4),Plastic Mod Xp (mm3),Plastic Mod Yp (mm3)
HS38x38x3.2,418,38.1,38.1,82200,82200,5350,5350
HS38x38x4.8,578,38.1,38.1,101000,101000,6950,6950
HS51x51x3.2,580,50.8,50.8,214000,214000,10200,10200
HS51x51x4.8,821,50.8,50.8,279000,279000,13800,13800
HS51x51x6.4,1030,50.8,50.8,319000,319000,16400,16400
HS64x64x3.2,741,63.5,63.5,441000,441000,16600,16600
HS64x64x4.8,1060,63.5,63.5,594000,594000,23000,23000
HS64x64x6.4,1350,63.5,63.5,703000,703000,28100,28100
HS64x64x8.0,1600,63.5,63.5,779000,779000,32100,32100
HS76x76x3.2,903,76.2,76.2,790000,790000,24500,24500
HS76x76x4.8,1310,76.2,76.2,1080000,1080000,34400,34400
HS76x76x6.4,1670,76.2,76.2,1310000,1310000,42800,42800
HS76x76x8.0,2010,76.2,76.2,1490000,1490000,49800,49800
HS76x76x9.5,2310,76.2,76.2,1610000,1610000,55500,55500
HS89x89x3.2,1060,88.9,88.9,1290000,1290000,33900,33900
HS89x89x4.8,1550,88.9,88.9,1790000,1790000,48200,48200
HS89x89x6.4,1990,88.9,88.9,2200000,2200000,60500,60500
HS89x89x8.0,2410,88.9,88.9,2540000,2540000,71400,71400
HS89x89x9.5,2790,88.9,88.9,2800000,2800000,80500,80500
HS102x102x3.2,1230,101.6,101.6,1960000,1960000,44900,44900
HS102x102x4.8,1790,101.6,101.6,2750000,2750000,64300,64300
HS102x102x6.4,2320,101.6,101.6,3420000,3420000,81400,81400
HS102x102x8.0,2820,101.6,101.6,3990000,3990000,96800,96800
HS102x102x9.5,3280,101.6,101.6,4450000,4450000,110000,110000
HS102x102x13,4100,101.6,101.6,5100000,5100000,131000,131000
HS114x114x3.2,1390,114.3,114.3,2830000,2830000,57400,57400
HS114x114x4.8,2040,114.3,114.3,4010000,4010000,82700,82700
HS114x114x6.4,2640,114.3,114.3,5020000,5020000,105000,105000
HS114x114x8.0,3220,114.3,114.3,5910000,5910000,126000,126000
HS114x114x9.5,3760,114.3,114.3,6650000,6650000,144000,144000
HS114x114x13,4750,114.3,114.3,7780000,7780000,175000,175000
HS127x127x4.8,2280,127,127,5600000,5600000,103000,103000
HS127x127x6.4,2960,127,127,7050000,7050000,132000,132000
HS127x127x8.0,3620,127,127,8360000,8360000,159000,159000
HS127x127x9.5,4240,127,127,9480000,9480000,183000,183000
HS127x127x13,5390,127,127,11300000,11300000,225000,225000
HS152x152x4.8,2760,152.4,152.4,9930000,9930000,152000,152000
HS152x152x6.4,3610,152.4,152.4,12600000,12600000,196000,196000
HS152x152x8.0,4430,152.4,152.4,15100000,15100000,237000,237000
HS152x152x9.5,5210,152.4,152.4,17300000,17300000,275000,275000
HS152x152x13,6680,152.4,152.4,21000000,21000000,342000,342000
HS178x178x4.8,3250,177.8,177.8,16100000,16100000,210000,210000
HS178x178x6.4,4250,177.8,177.8,20600000,20600000,271000,271000
HS178x178x8.0,5240,177.8,177.8,24800000,24800000,330000,330000
HS178x178x9.5,6180,177.8,177.8,28600000,28600000,385000,385000
HS178x178x13,7970,177.8,177.8,35200000,35200000,484000,484000
HS178x178x16,9640,177.8,177.8,40600000,40600000,571000,571000
HS203x203x6.4,4900,203.2,203.2,31300000,31300000,359000,359000
HS203x203x8.0,6050,203.2,203.2,37900000,37900000,439000,439000
HS203x203x9.5,7150,203.2,203.2,43900000,43900000,513000,513000
HS203x203x13,9260,203.2,203.2,54700000,54700000,651000,651000
HS203x203x16,11200,203.2,203.2,63800000,63800000,774000,774000
HS254x254x6.4,6190,254,254,62700000,62700000,571000,571000
HS254x254x8.0,7660,254,254,76500000,76500000,702000,702000
HS254x254x9.5,9090,254,254,89300000,89300000,825000,825000
HS254x254x13,11800,254,254,113000000,113000000,1060000,1060000
HS254x254x16,14500,254,254,134000000,134000000,1270000,1270000
HS305x305x6.4,7480,304.8,304.8,110000000,110000000,833000,833000
HS305x305x8.0,9280,304.8,304.8,135000000,135000000,1030000,1030000
HS305x305x9.5,11000,304.8,304.8,158000000,158000000,1210000,1210000
HS305x305x13,14400,304.8,304.8,202000000,202000000,1560000,1560000
HS305x305x16,17700,304.8,304.8,242000000,242000000,1890000,1890000
